Zip,State,City,County,TypeCode,RuralCode
21122,MD,Pasadena,Anne Arundel,,S
21123,MD,Pasadena,Anne Arundel,e,S
21128,MD,Perry Hall,Baltimore,,S
21130,MD,Perryman,Harford,e,S
21131,MD,Phoenix,Baltimore,,S
21132,MD,Pylesville,Harford,,R
21133,MD,Randallstown,Baltimore,,U
21136,MD,Reisterstown,Baltimore,,S
21139,MD,Riderwood,Baltimore,e,S
21140,MD,Riva,Anne Arundel,,S
21144,MD,Severn,Anne Arundel,,S
21146,MD,Severna Park,Anne Arundel,,S
21150,MD,Simpsonville,Howard,e,U
21152,MD,Sparks Glencoe,Baltimore,,S
21153,MD,Stevenson,Baltimore,e,S
21154,MD,Street,Harford,,R
21155,MD,Upperco,Baltimore,,R
21156,MD,Upper Falls,Baltimore,,S
21157,MD,Westminster,Carroll,,S
21158,MD,Westminster,Carroll,,S
21160,MD,Whiteford,Harford,,R
21161,MD,White Hall,Baltimore,,R
21162,MD,White Marsh,Baltimore,,S
21163,MD,Woodstock,Baltimore,,S
21201,MD,Baltimore,Baltimore City,,U
21202,MD,Baltimore,Baltimore City,,U
21203,MD,Baltimore,Baltimore City,e,U
21204,MD,Towson,Baltimore,,U
21205,MD,Baltimore,Baltimore City,,U
21206,MD,Baltimore,Baltimore City,,U
21207,MD,Gwynn Oak,Baltimore,,U
21208,MD,Pikesville,Baltimore,,U
21209,MD,Baltimore,Baltimore City,,U
21210,MD,Baltimore,Baltimore City,,U
21211,MD,Baltimore,Baltimore City,,U
21212,MD,Baltimore,Baltimore City,,U
21213,MD,Baltimore,Baltimore City,,U
21214,MD,Baltimore,Baltimore City,,U
21215,MD,Baltimore,Baltimore City,,U
21216,MD,Baltimore,Baltimore City,,U
21217,MD,Baltimore,Baltimore City,,U
21218,MD,Baltimore,Baltimore City,,U
21219,MD,Sparrows Point,Baltimore,,S
21220,MD,Middle River,Baltimore,,S
21221,MD,Essex,Baltimore,,U
21222,MD,Dundalk,Baltimore,,U
21223,MD,Baltimore,Baltimore City,,U
21224,MD,Baltimore,Baltimore City,,U
21225,MD,Brooklyn,Baltimore City,,U
21226,MD,Curtis Bay,Baltimore City,,S
21227,MD,Halethorpe,Baltimore,,U
21228,MD,Catonsville,Baltimore,,U
21229,MD,Baltimore,Baltimore City,,U
21230,MD,Baltimore,Baltimore City,,U
21231,MD,Baltimore,Baltimore City,,U
21233,MD,Baltimore,Baltimore City,,U
21234,MD,Parkville,Baltimore,,U
21235,MD,Baltimore,Baltimore City,b,U
21236,MD,Nottingham,Baltimore,,U
21237,MD,Rosedale,Baltimore,,U
21239,MD,Baltimore,Baltimore City,,U
21240,MD,Baltimore,Anne Arundel,,S
21241,MD,Baltimore,Baltimore City,b,U
21244,MD,Windsor Mill,Baltimore,,U
21250,MD,Baltimore,Baltimore,b,U
21251,MD,Baltimore,Baltimore City,b,U
21252,MD,Towson,Baltimore,b,U
21263,MD,Baltimore,Baltimore City,b,U
21264,MD,Baltimore,Baltimore City,b,U
21270,MD,Baltimore,Baltimore City,e,U
21273,MD,Baltimore,Baltimore City,b,U
21275,MD,Baltimore,Baltimore City,b,U
21278,MD,Baltimore,Baltimore City,b,U
21279,MD,Baltimore,Baltimore City,b,U
21281,MD,Baltimore,Baltimore City,e,U
21282,MD,Pikesville,Baltimore,e,U
21284,MD,Towson,Baltimore,e,U
21285,MD,Towson,Baltimore,e,U
21286,MD,Towson,Baltimore,,S
21287,MD,Baltimore,Baltimore City,,U
21289,MD,Baltimore,Baltimore City,b,U
21290,MD,Baltimore,Baltimore City,b,U
21297,MD,Baltimore,Baltimore City,e,U
21298,MD,Baltimore,Baltimore City,b,U
21401,MD,Annapolis,Anne Arundel,,S
21402,MD,Annapolis,Anne Arundel,,S
21403,MD,Annapolis,Anne Arundel,,S
21404,MD,Annapolis,Anne Arundel,e,S
21405,MD,Annapolis,Anne Arundel,,S
21409,MD,Annapolis,Anne Arundel,,S
21411,MD,Annapolis,Anne Arundel,b,S
21412,MD,Annapolis,Anne Arundel,,S
21501,MD,Cumberland,Allegany,e,S
21502,MD,Cumberland,Allegany,,R
21503,MD,Cumberland,Allegany,e,S
21504,MD,Cumberland,Allegany,e,S
21505,MD,Cumberland,Allegany,e,S
21520,MD,Accident,Garrett,,R
21521,MD,Barton,Allegany,,R
21522,MD,Bittinger,Garrett,,R
21523,MD,Bloomington,Garrett,,R
21524,MD,Corriganville,Allegany,e,R
21528,MD,Eckhart Mines,Allegany,e,R
21529,MD,Ellerslie,Allegany,e,R
21530,MD,Flintstone,Allegany,,R
21531,MD,Friendsville,Garrett,,R
21532,MD,Frostburg,Allegany,,R
21536,MD,Grantsville,Garrett,,R
21538,MD,Kitzmiller,Garrett,,R
21539,MD,Lonaconing,Allegany,,R
21540,MD,Luke,Allegany,,R
21541,MD,McHenry,Garrett,,R
21542,MD,Midland,Allegany,e,R
21543,MD,Midlothian,Allegany,e,R
21545,MD,Mount Savage,Allegany,,R
21550,MD,Oakland,Garrett,,R
21555,MD,Oldtown,Allegany,,R
21556,MD,Pinto,Allegany,e,R
21557,MD,Rawlings,Allegany,,R
21560,MD,Spring Gap,Allegany,e,R
21561,MD,Swanton,Garrett,,R
21562,MD,Westernport,Allegany,,R
21601,MD,Easton,Talbot,,R
21607,MD,Barclay,Queen Anne's,,R
21609,MD,Bethlehem,Caroline,e,R
21610,MD,Betterton,Kent,,R
21612,MD,Bozman,Talbot,,R
21613,MD,Cambridge,Dorchester,,R
21617,MD,Centreville,Queen Anne's,,R
21619,MD,Chester,Queen Anne's,,R
21620,MD,Chestertown,Kent,,R
21622,MD,Church Creek,Dorchester,,R
21623,MD,Church Hill,Queen Anne's,,R
21624,MD,Claiborne,Talbot,e,R
21625,MD,Cordova,Talbot,,R
21626,MD,Crapo,Dorchester,,R
21627,MD,Crocheron,Dorchester,,R
21628,MD,Crumpton,Queen Anne's,e,R
21629,MD,Denton,Caroline,,R
21631,MD,East New Market,Dorchester,,R
21632,MD,Federalsburg,Caroline,,R
21634,MD,Fishing Creek,Dorchester,,R
21635,MD,Galena,Kent,,R
21636,MD,Goldsboro,Caroline,,R
21638,MD,Grasonville,Queen Anne's,,R
21639,MD,Greensboro,Caroline,,R
21640,MD,Henderson,Caroline,,R
21641,MD,Hillsboro,Caroline,e,R
21643,MD,Hurlock,Dorchester,,R
21644,MD,Ingleside,Queen Anne's,,R
21645,MD,Kennedyville,Kent,,R
21647,MD,McDaniel,Talbot,,R
21648,MD,Madison,Dorchester,,R
21649,MD,Marydel,Caroline,,R
21650,MD,Massey,Kent,,R
21651,MD,Millington,Kent,,R
21652,MD,Neavitt,Talbot,e,R
21653,MD,Newcomb,Talbot,e,R
21654,MD,Oxford,Talbot,,R
21655,MD,Preston,Caroline,,R
21656,MD,Price,Queen Anne's,e,R
21657,MD,Queen Anne,Queen Anne's,,R
21658,MD,Queenstown,Queen Anne's,,R
21659,MD,Rhodesdale,Dorchester,,R
21660,MD,Ridgely,Caroline,,R
21661,MD,Rock Hall,Kent,,R
21662,MD,Royal Oak,Talbot,,R
21663,MD,Saint Michaels,Talbot,,R
21664,MD,Secretary,Dorchester,e,R
21665,MD,Sherwood,Talbot,,R
21666,MD,Stevensville,Queen Anne's,,R
21667,MD,Still Pond,Kent,,R
21668,MD,Sudlersville,Queen Anne's,,R
21669,MD,Taylors Island,Dorchester,e,R
21670,MD,Templeville,Caroline,e,R
21671,MD,Tilghman,Talbot,,R
21672,MD,Toddville,Dorchester,,R
21673,MD,Trappe,Talbot,,R
21675,MD,Wingate,Dorchester,,R
21676,MD,Wittman,Talbot,,R
21677,MD,Woolford,Dorchester,,R
21678,MD,Worton,Kent,,R
21679,MD,Wye Mills,Talbot,,R
21690,MD,Chestertown,Queen Anne's,b,R
21701,MD,Frederick,Frederick,,S
21702,MD,Frederick,Frederick,,S
21703,MD,Frederick,Frederick,,S
21704,MD,Frederick,Frederick,,S
21705,MD,Frederick,Frederick,e,S
21709,MD,Frederick,Frederick,b,S
21710,MD,Adamstown,Frederick,,R
21711,MD,Big Pool,Washington,,R
21713,MD,Boonsboro,Washington,,R
21714,MD,Braddock Heights,Frederick,e,R
21715,MD,Brownsville,Washington,e,R
21716,MD,Brunswick,Frederick,,R
21717,MD,Buckeystown,Frederick,e,R
21718,MD,Burkittsville,Frederick,,R
21719,MD,Cascade,Washington,,R
21720,MD,Cavetown,Washington,e,R
21721,MD,Chewsville,Washington,e,R
21722,MD,Clear Spring,Washington,,R
21723,MD,Cooksville,Howard,,R
21727,MD,Emmitsburg,Frederick,,R
21733,MD,Fairplay,Washington,,R
21734,MD,Funkstown,Washington,e,S
21737,MD,Glenelg,Howard,,R
21738,MD,Glenwood,Howard,,R
21740,MD,Hagerstown,Washington,,S
21741,MD,Hagerstown,Washington,e,S
21742,MD,Hagerstown,Washington,,S
21746,MD,Hagerstown,Washington,b,R
21747,MD,Hagerstown,Washington,e,S
21749,MD,Hagerstown,Washington,b,S
21750,MD,Hancock,Washington,,R
21754,MD,Ijamsville,Frederick,,R
21755,MD,Jefferson,Frederick,,R
21756,MD,Keedysville,Washington,,R
21757,MD,Keymar,Carroll,,R
21758,MD,Knoxville,Frederick,,R
21759,MD,Ladiesburg,Frederick,e,R
21762,MD,Libertytown,Frederick,e,R
21765,MD,Lisbon,Howard,e,R
21766,MD,Little Orleans,Allegany,,R
21767,MD,Maugansville,Washington,,R
21769,MD,Middletown,Frederick,,R
21770,MD,Monrovia,Frederick,,R
21771,MD,Mount Airy,Frederick,,R
21773,MD,Myersville,Frederick,,R
21774,MD,New Market,Frederick,,R
21775,MD,New Midway,Frederick,e,R
21776,MD,New Windsor,Carroll,,S
21777,MD,Point of Rocks,Frederick,,R
21778,MD,Rocky Ridge,Frederick,,R
21779,MD,Rohrersville,Washington,,R
21780,MD,Sabillasville,Frederick,,R
21781,MD,Saint James,Washington,e,R
21782,MD,Sharpsburg,Washington,,R
21783,MD,Smithsburg,Washington,,S
21784,MD,Sykesville,Carroll,,R
21787,MD,Taneytown,Carroll,,R
21788,MD,Thurmont,Frederick,,R
21790,MD,Tuscarora,Frederick,,R
21791,MD,Union Bridge,Carroll,,R
21792,MD,Unionville,Frederick,e,R
21793,MD,Walkersville,Frederick,,R
21794,MD,West Friendship,Howard,,R
21795,MD,Williamsport,Washington,,R
21797,MD,Woodbine,Howard,,R
21798,MD,Woodsboro,Frederick,,R
21801,MD,Salisbury,Wicomico,,S
21802,MD,Salisbury,Wicomico,e,S
21803,MD,Salisbury,Wicomico,e,R
21804,MD,Salisbury,Wicomico,,S
21810,MD,Allen,Wicomico,e,R
21811,MD,Berlin,Worcester,,S
21813,MD,Bishopville,Worcester,,S
21814,MD,Bivalve,Wicomico,,R
21817,MD,Crisfield,Somerset,,R
21821,MD,Deal Island,Somerset,,R
21822,MD,Eden,Worcester,,R
21824,MD,Ewell,Somerset,,R
21826,MD,Fruitland,Wicomico,,S
21829,MD,Girdletree,Worcester,,S
21830,MD,Hebron,Wicomico,,S
21835,MD,Linkwood,Dorchester,,R
21836,MD,Manokin,Somerset,e,R
21837,MD,Mardela Springs,Wicomico,,R
21838,MD,Marion Station,Somerset,,R
21840,MD,Nanticoke,Wicomico,,R
21841,MD,Newark,Worcester,,S
21842,MD,Ocean City,Worcester,,S
21843,MD,Ocean City,Worcester,e,S
21849,MD,Parsonsburg,Wicomico,,R
21850,MD,Pittsville,Wicomico,,R
